Site,Energy Meter (IEM3255),Tanggal,Negative active,Positive Active,Daily GHI
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-05,1104687.16,61.19,1.968611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-06,1106189.27,61.31,2.473055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-07,1107925.94,61.48,3.031388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-08,1110208.22,61.61,3.9627777777777777
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-09,1112818.36,61.73,4.585
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-10,1114663.86,61.85,3.2508333333333335
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-11,1117937.87,61.96,5.876944444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-12,1121676.04,62.06,6.87
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-13,1125370.18,62.19,6.872222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-14,1129170.86,62.29,7.048055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-15,1132796.31,62.36,6.76
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-16,1136588.78,62.46,7.001388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-17,1140039.24,62.53,6.309444444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-18,1143580.47,62.63,6.706111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-19,1147013.79,62.7,6.335833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-20,1150359.26,62.79,6.12
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-21,1152888.18,62.94,4.480833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-22,1156106.66,63.05,5.8438888888888885
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-23,1158237.32,63.13,3.785555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-24,1160863.26,63.23,4.746944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-25,1163264.43,63.35,4.160555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-26,1164898.7,63.49,2.7327777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-27,1167148.65,63.62,3.9580555555555557
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-28,1169990.44,63.73,5.118888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-29,1172191.06,63.8,3.9466666666666668
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-30,1174810.58,63.9,4.470833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-03-31,1176763.53,63.99,3.506666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-01,1179632.01,64.1,5.219444444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-02,1182100.44,64.23,4.210277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-03,1185125.57,64.36,5.339166666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-04,1187056.61,64.52,3.2733333333333334
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-05,1189179.97,64.63,3.5452777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-06,1191700.84,64.76,4.443888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-07,1193696.39,64.89,3.4055555555555554
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-08,1195960.71,65.01,3.6191666666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-09,1198880.41,65.13,5.1066666666666665
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-10,1201729.89,65.24,4.893888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-11,1204623.08,65.38,5.038055555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-12,1207952.09,65.5,6.148055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-13,1210091.99,65.61,3.629166666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-14,1212003.9,65.75,3.3644444444444446
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-15,1214383.83,65.89,4.259444444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-16,1215927.15,66.01,2.767777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-17,1218189.23,66.14,4.072222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-18,1220813.87,66.27,4.8133333333333335
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-19,1222915.52,66.4,3.783333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-20,1225780.46,66.52,5.2575
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-21,1228166.78,66.65,4.286388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-22,1231173.75,66.77,5.533888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-23,1233559.19,66.87,4.286666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-24,1236021.8,66.96,4.536944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-25,1238856.51,67.07,5.251666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-27,1244462.4,67.26,5.329722222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-28,1246472.6,67.4,3.648888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-29,1248690.57,67.53,4.016944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-04-30,1250448.74,67.68,3.2177777777777776
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-2,2026-05-01,1253040.57,67.81,0.0
