Source;site_id;dev_name;esn_code;voltage_level;meter_type;polarity_swapped
FusionSolar;NE=50488260;Meter-LV;AM02102287046729;LV;;
FusionSolar;NE=50488260;Meter-MV;AM00102287046729;MV;Revenue;
FusionSolar;NE=51758766;EM-MVMDP-PV2;AM011023B7436516;MV;Revenue;
FusionSolar;NE=51758766;PM-LVMDP-PV2;AM001023B7436516;LV;;
FusionSolar;NE=51758766;EM-AUX-PV2;AM041023B7436516;;;
FusionSolar;NE=51758766;PM-EXIM-PB;AM051023B7436516;;;
FusionSolar;NE=51758766;PM-MVMDP-PV2;AM021023B7436516;MV;;
FusionSolar;NE=51758766;EM-MVEXT;AM031023B7436516;MV;;
FusionSolar;NE=51758766;Meter-AM061023B7436516;AM061023B7436516;;;
FusionSolar;NE=51758766;Eximp-MMKI;AM071023B7436516;;;
FusionSolar;NE=51758766;PM-LVMDP-PV3;AM021023C7355634;LV;;
FusionSolar;NE=51758766;EM-AUX-PV3;AM031023C7355634;;;
FusionSolar;NE=51758766;EM-MVMDP-PV3;AM001023C7355634;MV;Revenue;TRUE
FusionSolar;NE=51758766;PM-MVMDP-PV3;AM011023C7355634;MV;;
FusionSolar;NE=53771627;EM-LV(COM3-4);AM031023A5160368;LV;;
FusionSolar;NE=53771627;PM-MV(COM3-1);AM001023A5160368;MV;;
FusionSolar;NE=53771627;EM-MV(COM3-2);AM011023A5160368;MV;Revenue;
FusionSolar;NE=53771627;PM-LV(COM3-3);AM021023A5160368;LV;;
FusionSolar;NE=54435794;RM-02-IEM2455-2;AM02102467487012;;;
FusionSolar;NE=54435794;PQM-01-PM5350-2;AM00102467487012;;;
FusionSolar;NE=54435794;RM-01-IEM3255-2;AM01102467487012;;Revenue;
FusionSolar;NE=54435794;PQM-01-PM5350-1;AM00102459944283;;;
FusionSolar;NE=54435794;RM-01-IEM3255-1;AM01102459944283;;Revenue;
FusionSolar;NE=54435794;RM-02-IEM2455-1;AM02102459944283;;;
FusionSolar;NE=58630782;PQM-01-MV-ASSY;AM011024B6566722;MV;;
FusionSolar;NE=58630782;PQM-02-LV-ASSY;AM001024B6566722;LV;;
FusionSolar;NE=58630782;RM-01-MV-ASSY;AM021024B6566722;MV;Revenue;
FusionSolar;NE=58630782;RM-02-LV-ASSY;AM031024B6566722;LV;;
FusionSolar;NE=58630782;RM-02-LV-PW;AM031024B6566719;LV;;
FusionSolar;NE=58630782;RM-01-MV-PW;AM021024B6566719;MV;Revenue;
FusionSolar;NE=58630782;PQM-01-MV-PW;AM001024B6566719;MV;;
FusionSolar;NE=58630782;PQM-02-LV-PW;AM011024B6566719;LV;;
FusionSolar;NE=61847068;EM-POI;AM0610254C346758;MV;Revenue;
FusionSolar;NE=61847068;EM-MVSWG;AM0110254C346758;MV;Revenue;
FusionSolar;NE=61847068;Meter-AM0010254C346758;AM0010254C346758;;;
FusionSolar;NE=61847068;Meter-AM0310254C346758;AM0310254C346758;;;
FusionSolar;NE=61847068;Meter-AM0210254C346758;AM0210254C346758;;;
FusionSolar;NE=62806354;SPM-RM-01-WH;AM03102527099805;MV;Revenue;
FusionSolar;NE=62806354;SPM-PQM-02-PM10;AM01102527099822;;;
FusionSolar;NE=62806354;SPM-PQM-03-WH;AM00102527099805;;;
FusionSolar;NE=62806354;SPM-RM-03-PM10;AM02102527099822;MV;Revenue;
FusionSolar;NE=62806354;SPM-RM-04-PM10;AM00102527099822;;;
FusionSolar;NE=62806354;SPM-PQM-01-WH;AM02102527099805;;;
FusionSolar;NE=62806354;SPM-RM-02-WH;AM01102527099805;;;
iSolarCloud;1445767;Meter Ex-imp;1445767_7_14_1;;;
iSolarCloud;1445767;RevenueMeter_ACComb;1445767_7_12_1;;Revenue;
iSolarCloud;1445767;PowerMeter_ACComb;1445767_7_11_1;;;
iSolarCloud;1445767;RevenueMeter_RMS;1445767_7_5_1;;;
iSolarCloud;1445767;Meter2;1445767_7_6_1;;;
iSolarCloud;1445767;Meter1;1445767_7_4_1;;;
iSolarCloud;1449886;Meter Ex-imp;1449886_7_13_1;;;
iSolarCloud;1449886;PowerMeter_ACCombiner;1449886_7_11_1;;;
iSolarCloud;1449886;PowerMeter_ACComb;1449886_7_9_1;;;
iSolarCloud;1449886;RevenueMeter_RMS;1449886_7_8_1;;;
iSolarCloud;1449886;RevenueMeter_ACComb;1449886_7_7_1;;Revenue;
iSolarCloud;1453245;Meter Ex-imp;1453245_7_17_1;;;
iSolarCloud;1453245;Meter5;1453245_7_16_1;;;
iSolarCloud;1453245;PowerMeter_ACComb;1453245_7_12_1;;;
iSolarCloud;1453245;Meter3;1453245_7_9_1;;;
iSolarCloud;1453245;EnergyMeter_RMS;1453245_7_8_1;;;
iSolarCloud;1453245;EnergyMeter_ACComb;1453245_7_7_1;;Revenue;
iSolarCloud;1453245;Meter8;1453245_7_15_1;;;
iSolarCloud;1453245;Meter7;1453245_7_14_1;;;
iSolarCloud;1458125;Meter21;1458125_7_2_1;;;
iSolarCloud;1458125;Meter20;1458125_7_1_1;;;
iSolarCloud;1458125;Meter19;1458125_7_4_1;;;
iSolarCloud;1458125;Meter18;1458125_7_3_1;;;
iSolarCloud;1458125;Meter17;1458125_7_6_1;;;
iSolarCloud;1458125;Meter16;1458125_7_35_1;;;
iSolarCloud;1458125;Meter15;1458125_7_34_1;;;
