table_schema;table_name;column_name;display_name_id;business_definition;formula;unit;source_trail;how_to_verify;where_to_correct;common_confusion;priority
mart;mart_site_performance_daily;date_key;Tanggal;Hari laporan operasional;Grain key;date;dim_date_generated;-;-;P0
mart;mart_site_performance_daily;site_id;Kode site;ID unifikasi site;dim_assets.asset_id (Site);text;dim_assets;-;seed_site_config / dim refresh;P0
mart;mart_site_performance_daily;site_name;Nama site;Nama plant;tampilan;text;dim_assets;-;-;P0
mart;mart_site_performance_daily;daily_energy_mwh;Energi harian;Energi bersih dari meter revenue;SUM meter revenue kWh/1000 per site-day;MWh;mart_meter_performance_5min + seed_meter_config;Bandingkan portal meter;seed_meter_config;Sering 0 karena meter tidak di-seed Revenue;P0
mart;mart_site_performance_daily;energy_actual;Energi aktual;Alias energi terukur;= daily_energy_mwh;MWh;= daily_energy_mwh;Harus sama dengan daily_energy_mwh;-;P0
mart;mart_site_performance_daily;energy_adjusted;Energi disesuaikan;Energi untuk analisis dengan override manual;COALESCE(seed_energy_adjustment_daily, energy_actual);MWh;seed_energy_adjustment_daily;Cek seed per tanggal;seed_energy_adjustment_daily;P1
mart;mart_site_performance_daily;daily_ghi_kwh_m2;GHI harian;Irradiasi global horizontal site;Agregasi mart_sensor_daily + mapping GHI;kWh/m2;mart_sensor_daily + seed_sensor_site_mapping;Bandingkan sensor portal;seed_sensor_config + seed_sensor_site_mapping;Override WST/PYR tidak terbaca di kamus lama;P0
mart;mart_site_performance_daily;ghi_actual;GHI aktual;GHI operasional (bisa override sensor);Branch GHI_ACTUAL_OVERRIDE + PYR;kWh/m2;mart_sensor_daily + seed_sensor_site_mapping;Lihat seed_sensor_site_mapping aktif;seed_sensor_site_mapping;P0
mart;mart_site_performance_daily;ghi_adjusted;GHI disesuaikan;GHI untuk PR adjusted;Prioritas: seed_ghi_adjustment > GHI_ADJUSTED mapping > ghi_actual;kWh/m2;seeds + mapping;Cek seed adjustment;seed_ghi_adjustment_daily;P1
mart;mart_site_performance_daily;daily_poa_weighted_kwh_m2;POA tertimbang;POA rata-rata tertimbang kapasitas;SUM(POA_i * cap_i)/SUM(cap_i);kWh/m2;mart_sensor_daily (POA, cap NOT NULL);Bandingkan sensor POA;seed_sensor_config + seed_poa_sensor_config;NULL jika capacity kosong;P0
mart;mart_site_performance_daily;power_available_hours;Jam inverter ON;Jam dengan inverter producing;SUM(power_available_ratio)*5/60;hours;fact_site_calculations_5min;Drill 5-min;seed_site_config total_inverters;0 jika total_inverters NULL;P0
mart;mart_site_performance_daily;unavailability_hours;Jam tidak tersedia;Jam loss saat matahari cukup (MIT);SUM(unavailability_ratio)*5/60;hours;fact_site_calculations_5min;Drill 5-min;-;P1
mart;mart_site_performance_daily;mit_hours;Jam MIT;Jam irradiance > threshold;COUNT(mit=1)*5/60;hours;fact_sensor_calculations_5min;Cek sensor;seed_sensor mapping;P1
mart;mart_site_performance_daily;availability_percent;Availability;Rasio ketersediaan inverter saat MIT;sum_pwr/(sum_pwr+sum_unavail);ratio 0-1;fact_site_calculations_5min;Excel crosscheck;seed_site_config;Bukan persen 0-100;P0
mart;mart_site_performance_daily;pr_ghi_actual;PR GHI;(E_kWh)/(GHI_kWh/m2)/kW_cap;LEAST((E_mwh*1000)/GHI_eff/kW, 10);ratio;energy + ghi + dim_assets;Hitung manual 1 hari;-;Desimal bukan %;P0
mart;mart_site_performance_daily;pr_adjusted;PR adjusted;PR pakai energy_adj & ghi_adj;Sama dengan pr_ghi dengan kolom adjusted;ratio;adjusted columns;-;-;P1
mart;mart_site_performance_daily;pr_poa_actual;PR POA;(E_kWh)/(POA_kWh/m2)/kW_cap;LEAST((E_mwh*1000)/POA/kW, 2);ratio;energy + poa + dim_assets;Hitung manual;-;P1
mart;mart_site_performance_daily;energy_target_mwh;Target energi harian;Target kurva simulasi (exclude unavail days);mart_simulation_targets_daily.energy_target_mwh;MWh;seed_daily_simulation_target;Excel simulation;seed_daily_simulation_target;P0
mart;mart_site_performance_daily;energy_actual_vs_target_pct;E vs target;Rasio energi aktual / target;daily_energy_mwh / energy_target_mwh;ratio;derived;Harus = E/target;Bukan kolom % 0-100;P1
mart;mart_site_performance_daily;energy_kpi_monthly_mwh;KPI energi bulanan;Target KPI operasional bulan;seed_daily_kpi_monthly;MWh;mart_site_kpi_monthly;Excel KPI sheet;seed_daily_kpi_monthly;P0
mart;mart_site_performance_daily;energy_target_monthly_mwh;Target energi bulanan;Jumlah target harian bulan;SUM(energy_target_mwh) bulan;MWh;mart_simulation_targets_daily;Sum harian Excel;seed;P1
mart;mart_site_performance_daily;energy_simulation_monthly_mwh;Simulasi energi bulanan;Jumlah simulasi harian (include unavail);SUM(energy_simulation_mwh) bulan;MWh;mart_simulation_targets_daily;Sum harian Excel;seed;P1
mart;mart_site_performance_daily;energy_kpi_daily_mwh;KPI harian;KPI bulan disebar mengikuti kurva target;KPI_bulan * (target_harian / target_bulan);MWh;mart_site_kpi_monthly + simulation;verify_site_performance_daily_one_day.sql;seed_daily_kpi_monthly;Bukan energi aktual;P0
mart;mart_site_performance_daily;energy_a_kpi_daily_mwh;a_KPI / KPI adjusted harian;Target harian diskalakan KPI vs simulasi;target_harian * (KPI_bulan / simulasi_bulan);MWh;Sama;verify SQL + Excel a_KPI;seed KPI + simulation;Sering dikira availability atau energi riil;P0
